1500013215000,25,5
1500014047000,64,4
1500015197000,27,4
1500020592000,63,5
1500017759000,13,3
1500016039000,16,3
1500019654000,45,2
1500025353000,32,4
1500023381000,90,1
1500030335000,24,5
1500032223000,43,2
1500037900000,71,2
1500035354000,90,1
1500042528000,45,3
1500041246000,20,5
1500047949000,87,2
1500046979000,65,5
1500052597000,27,5
1500051257000,44,2
1500057172000,57,1
1500064562000,14,2
1500066669000,13,4
1500060269000,32,4
1500067040000,66,3
1500075583000,65,5
1500075798000,91,2
1500073331000,25,3
1500077345000,91,2
1500077726000,22,5
1500081946000,21,3
1500086038000,88,2
1500085945000,16,5
1500092898000,37,5
1500091521000,35,1
1500093288000,10,1
1500098887000,54,4
1500106038000,43,3
1500107532000,13,3
1500106666000,38,1
1500112169000,87,2
1500116356000,42,5
1500113025000,90,5
1500111906000,38,2
1500122085000,38,2
1500122966000,78,4
1500119536000,62,5
1500131744000,50,5
1500128123000,13,2
1500136881000,76,4
1500139336000,47,1
1500138546000,47,3
1500137201000,37,5
1500137754000,62,2
1500143519000,72,5
1500151086000,37,4
1500148467000,14,1
1500153560000,48,4
1500150725000,99,5
1500158374000,23,4
1500162526000,91,3
1500162304000,10,4
1500163483000,64,1
1500171549000,34,5
1500166289000,88,3
1500178231000,78,1
1500178990000,25,4
1500173905000,27,5
1500182056000,70,3
1500180634000,53,4
1500189666000,48,5
1500190490000,29,4
1500195149000,53,4
1500191761000,12,5
1500196388000,61,3
1500204999000,95,5
1500198133000,39,4
1500199657000,12,2
1500202728000,63,1
1500206256000,99,5
1500215643000,29,1
1500215945000,94,5
1500217620000,93,4
1500216126000,66,5
1500222132000,55,5
1500227924000,51,5
1500226592000,12,4
1500231568000,69,5
1500232184000,56,4
1500240804000,47,1
1500239091000,52,5
1500244256000,69,4
1500244529000,71,1
1500251199000,28,5
1500250595000,38,2
1500251962000,20,5
1500257194000,10,1
1500253227000,49,1
1500259648000,65,2
1500260212000,94,3
1500263021000,13,1
